"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,6,2,1,0,5,0,2,0,0,1,1,0,NA,NA,"12/04/2020"
"CHLEF",2,31,0,1,0,30,0,1,0,0,0,0,0,1,NA,"12/04/2020"
"LAGHOUAT",3,9,1,0,0,9,0,1,0,0,0,0,1,NA,NA,"12/04/2020"
"OUM EL BOUAGHI",4,18,0,3,0,15,2,0,0,0,0,1,0,1,NA,"12/04/2020"
"BATNA",5,21,0,4,0,17,4,3,0,0,0,0,2,1,2,"12/04/2020"
"BEJAIA",6,80,3,11,1,68,2,3,0,0,0,2,1,1,NA,"12/04/2020"
"BISKRA",7,11,1,3,2,6,0,1,0,0,0,0,0,1,NA,"12/04/2020"
"BECHAR",8,10,0,0,0,10,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"BLIDA",9,554,16,78,32,444,180,205,0,7,11,135,74,142,16,"12/04/2020"
"BOUIRA",10,13,0,1,0,12,2,1,0,0,0,0,2,1,NA,"12/04/2020"
"TAMENGHASSET",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"TEBESSA",12,7,0,2,0,5,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"TLEMCEN",13,38,0,6,0,32,2,5,0,0,0,1,2,2,1,"12/04/2020"
"TIARET",14,4,0,1,0,3,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"TIZI OUZOU",15,49,0,8,2,39,16,24,0,0,2,13,3,21,NA,"12/04/2020"
"ALGER",16,334,6,78,11,245,61,93,0,1,0,51,37,59,6,"12/04/2020"
"DJELFA",17,28,2,2,0,26,1,0,0,0,0,0,0,1,NA,"12/04/2020"
"JIJEL",18,24,0,3,0,21,1,1,0,0,0,0,1,1,NA,"12/04/2020"
"SETIF",19,87,0,8,2,77,3,4,0,0,1,1,2,1,NA,"12/04/2020"
"SAIDA",20,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"SKIKDA",21,22,0,0,3,19,3,3,0,0,0,1,1,1,1,"12/04/2020"
"SIDI BEL ABBES",22,19,1,0,0,19,1,1,0,0,0,0,1,1,NA,"12/04/2020"
"ANNABA",23,14,0,2,3,9,2,4,0,0,1,0,1,1,1,"12/04/2020"
"GUELMA",24,6,0,0,0,6,1,1,0,0,0,0,0,1,NA,"12/04/2020"
"CONSTANTINE",25,40,4,5,0,35,2,1,0,0,0,0,0,2,1,"12/04/2020"
"MEDEA",26,27,0,8,1,18,2,3,0,0,0,1,1,1,1,"12/04/2020"
"MOSTAGANEM",27,33,4,2,0,31,2,1,0,0,0,1,1,NA,NA,"12/04/2020"
"M'SILA",28,8,0,4,0,4,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"MASCARA",29,20,0,3,2,15,2,1,0,0,0,0,1,1,NA,"12/04/2020"
"OUARGLA",30,7,3,1,1,5,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"ORAN",31,120,15,10,0,110,22,40,0,0,7,24,12,17,2,"12/04/2020"
"EL BAYADH",32,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"BORDJ BOU ARRERIDJ",34,38,0,8,0,30,2,4,0,0,1,2,0,2,NA,"12/04/2020"
"BOUMERDES",35,25,0,6,1,18,2,2,0,0,1,1,0,1,1,"12/04/2020"
"EL-TARF",36,4,0,0,0,4,0,2,0,0,0,0,1,1,NA,"12/04/2020"
"TINDOUF",37,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"TISSEMSILT",38,19,4,2,1,18,0,1,0,0,0,0,1,NA,NA,"12/04/2020"
"EL OUED",39,18,2,7,0,11,2,3,0,0,0,0,2,1,1,"12/04/2020"
"KHENCHELA",40,11,2,1,0,10,0,2,0,0,0,0,0,1,1,"12/04/2020"
"SOUK-AHRAS",41,6,0,1,0,5,1,1,0,0,0,1,0,1,NA,"12/04/2020"
"TIPAZA",42,60,3,12,0,48,3,6,0,0,1,2,2,2,1,"12/04/2020"
"MILA",43,3,0,1,0,2,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"AIN DEFLA",44,51,10,5,0,46,0,2,0,0,0,0,1,NA,NA,"12/04/2020"
"NAAMA",45,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"12/04/2020"
"AIN-TEMOUCHENT",46,13,0,2,0,11,0,1,0,0,0,0,0,1,NA,"12/04/2020"
"GHARDAIA",47,11,9,1,0,10,0,1,0,0,0,0,1,NA,NA,"12/04/2020"
"RELIZANE",48,10,1,2,0,8,0,1,0,0,0,0,1,0,NA,"12/04/2020"
